c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
B,G,Y,P,O,R,Y,R,B,a
B,G,R,Y,R,B,Y,P,O,a
B,G,R,Y,Y,B,R,O,P,a
B,P,G,Y,Y,O,R,B,R,a
B,O,Y,R,G,B,Y,P,R,a
B,O,P,R,B,G,Y,R,Y,a
B,P,Y,R,Y,B,O,G,R,a
B,B,Y,O,R,Y,R,G,P,a
B,O,G,R,R,P,B,Y,Y,a
P,O,R,Y,B,G,R,B,Y,a
B,P,O,R,Y,G,R,B,Y,a
B,G,R,R,Y,O,P,Y,B,a
B,O,Y,R,P,B,R,G,Y,a
B,G,R,Y,Y,O,P,R,B,a
B,B,G,P,R,R,Y,O,Y,a
B,O,R,Y,R,Y,B,P,G,a
B,P,O,R,B,Y,Y,G,R,a
B,G,R,O,Y,B,Y,R,P,a
B,P,G,R,R,O,Y,B,Y,a
B,B,R,O,G,Y,Y,P,R,a
B,R,Y,Y,B,P,R,O,G,a
B,O,R,P,G,Y,R,B,Y,a
B,G,O,Y,R,Y,B,P,R,a
B,G,R,R,O,Y,B,P,Y,a
R,B,Y,O,P,G,R,B,Y,a
G,B,Y,O,R,B,R,P,Y,a
B,G,Y,Y,O,P,R,R,B,a
B,G,P,Y,Y,O,B,R,R,a
G,O,R,Y,B,P,Y,B,R,a
B,B,O,P,Y,R,R,G,Y,a
B,O,Y,Y,B,G,R,R,P,a
B,G,R,R,Y,B,P,O,Y,a
B,B,Y,O,R,G,P,R,Y,a
B,B,Y,R,R,G,O,P,Y,a
B,G,P,O,Y,R,R,Y,B,a
B,R,Y,Y,B,O,G,P,R,a
B,G,R,P,R,Y,Y,B,O,a
B,P,O,Y,B,R,Y,G,R,a
B,B,Y,G,Y,O,R,R,P,a
G,O,Y,P,R,B,R,B,Y,a
B,B,Y,G,R,P,Y,R,O,a
B,B,Y,R,Y,P,O,G,R,a
G,B,R,O,B,P,Y,Y,R,a
B,B,Y,O,P,R,R,G,Y,a
B,G,R,P,Y,Y,R,B,O,a
B,B,Y,G,O,Y,R,P,R,a
B,O,P,R,Y,G,R,B,Y,a
B,P,B,R,Y,Y,O,G,R,a
B,G,O,Y,R,R,Y,P,B,a
B,G,R,Y,R,O,Y,B,P,a
B,G,B,P,Y,R,R,Y,O,a
B,G,R,R,B,P,Y,Y,O,a
B,O,R,Y,G,R,Y,P,B,a
B,P,O,R,B,G,Y,Y,R,a
B,G,O,R,B,P,R,Y,Y,a
B,B,G,O,R,Y,R,P,Y,a
B,O,P,Y,B,R,R,G,Y,a
P,G,R,O,B,B,Y,R,Y,a
B,G,Y,R,Y,O,P,R,B,a
B,P,Y,R,O,B,R,G,Y,a
B,G,O,R,R,P,B,Y,Y,a
B,B,Y,R,R,G,P,O,Y,a
P,B,R,G,B,O,R,Y,Y,a
B,G,R,R,Y,Y,P,O,B,a
B,G,Y,Y,B,O,P,R,R,a
B,P,Y,Y,G,O,R,B,R,a
B,G,Y,R,B,P,R,Y,O,a
B,G,Y,P,Y,R,O,R,B,a
B,O,G,P,Y,R,R,B,Y,a
B,G,B,P,O,R,R,Y,Y,a
B,G,B,R,P,Y,Y,O,R,a
B,G,Y,Y,B,R,R,O,P,a
P,B,R,O,R,G,Y,B,Y,a
B,B,R,P,R,Y,G,O,Y,a
B,O,B,P,G,R,Y,Y,R,a
B,B,Y,G,P,Y,R,O,R,a
B,B,R,G,O,R,Y,P,Y,a
B,B,R,P,Y,G,Y,R,O,a
B,G,P,R,B,R,Y,O,Y,a
B,B,G,O,R,Y,Y,P,R,a
B,G,Y,R,P,O,B,R,Y,a
B,B,R,O,Y,Y,R,G,P,a
B,B,G,P,Y,R,Y,O,R,a
B,B,R,P,R,Y,O,G,Y,a
B,B,Y,Y,R,G,P,O,R,a
G,B,R,B,R,O,Y,P,Y,a
B,P,R,Y,R,O,Y,B,G,a
B,G,Y,R,R,B,Y,P,O,a
P,G,Y,O,R,B,Y,B,R,a
B,B,Y,Y,O,G,R,P,R,a
R,B,Y,O,G,B,Y,P,R,a
B,G,R,Y,Y,P,B,R,O,a
B,B,R,G,Y,P,R,Y,O,a
B,B,G,O,Y,R,Y,P,R,a
B,G,O,R,R,Y,B,P,Y,a
B,O,G,Y,Y,P,B,R,R,a
B,R,P,Y,B,O,Y,G,R,a
B,G,R,Y,B,R,Y,O,P,a
B,O,Y,P,G,Y,R,B,R,a
O,G,R,R,B,P,Y,B,Y,a
G,B,Y,Y,B,P,R,O,R,a
P,B,Y,G,Y,O,R,B,R,a
B,G,Y,R,P,Y,R,O,B,a
B,O,Y,Y,R,P,G,R,B,a
B,B,Y,P,G,Y,R,O,R,a
B,B,Y,R,Y,O,R,G,P,a
P,B,Y,O,R,G,R,B,Y,a
B,B,Y,R,R,P,Y,G,O,a
B,P,Y,R,B,Y,R,O,G,a
B,B,R,R,G,O,Y,P,Y,a
B,O,R,P,Y,Y,B,R,G,a
B,B,G,O,Y,P,Y,R,R,a
G,B,Y,P,B,R,Y,O,R,a
B,P,R,Y,B,G,O,Y,R,a
B,O,Y,P,R,R,G,B,Y,a
G,B,Y,O,R,B,Y,P,R,a
B,P,R,Y,R,G,Y,B,O,a
B,B,R,P,Y,R,O,G,Y,a
B,P,R,Y,O,G,R,B,Y,a
B,G,P,R,R,O,Y,B,Y,a
P,G,R,O,Y,B,Y,B,R,a
B,G,O,Y,R,P,Y,B,R,a
B,G,O,Y,Y,P,R,R,B,a
B,O,B,R,Y,Y,G,P,R,a
B,O,R,Y,R,G,Y,B,P,a
B,G,Y,O,B,R,Y,R,P,a
P,B,Y,G,B,O,R,Y,R,a
B,G,R,P,R,Y,O,Y,B,a
B,G,Y,P,O,R,B,R,Y,a
B,G,R,R,Y,B,Y,O,P,a
B,O,R,Y,B,Y,G,P,R,a
B,O,R,R,Y,Y,G,P,B,a
B,Y,O,Y,B,P,R,G,R,a
B,B,Y,O,G,R,R,P,Y,a
B,G,O,Y,R,R,B,P,Y,a
B,P,R,Y,B,R,Y,O,G,a
B,G,R,O,Y,B,P,R,Y,a
P,G,Y,Y,B,O,R,B,R,a
B,B,R,O,R,P,G,Y,Y,a
B,O,P,R,B,G,R,Y,Y,a
