c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
B,G,P,O,R,Y,Y,R,B,a
B,G,P,O,R,Y,B,R,Y,a
B,B,O,P,R,G,R,Y,Y,a
B,G,Y,R,R,B,O,P,Y,a
B,P,O,Y,B,G,Y,R,R,a
P,B,Y,O,Y,G,R,B,R,a
P,O,Y,R,B,B,Y,G,R,a
B,B,R,Y,R,O,P,G,Y,a
B,G,R,R,B,O,Y,Y,P,a
B,O,G,P,B,R,Y,Y,R,a
G,B,R,P,R,O,Y,B,Y,a
B,O,R,P,Y,Y,G,B,R,a
B,B,R,O,Y,P,R,Y,G,a
P,B,R,O,Y,B,R,G,Y,a
B,G,R,O,P,R,Y,Y,B,a
B,G,Y,O,P,B,R,R,Y,a
B,O,R,R,Y,P,B,Y,G,a
B,G,R,O,P,R,B,Y,Y,a
B,P,R,R,G,O,B,Y,Y,a
B,P,Y,R,B,G,O,Y,R,a
B,O,R,P,R,Y,B,Y,G,a
O,G,R,P,B,B,Y,Y,R,a
B,G,Y,R,O,Y,R,P,B,a
B,P,G,Y,R,O,R,B,Y,a
P,B,R,G,Y,O,R,B,Y,a
B,O,R,Y,P,G,B,R,Y,a
B,P,R,Y,O,G,B,R,Y,a
B,O,Y,Y,G,P,R,R,B,a
B,P,Y,Y,R,O,B,R,G,a
B,R,P,R,B,O,Y,G,Y,a
B,B,Y,P,O,G,R,Y,R,a
G,B,R,O,B,P,R,Y,Y,a
B,G,Y,R,O,P,R,Y,B,a
B,G,R,Y,O,B,R,P,Y,a
B,B,P,G,Y,O,R,R,Y,a
B,B,O,P,R,G,Y,Y,R,a
B,O,R,P,G,Y,Y,B,R,a
B,P,O,R,R,B,Y,G,Y,a
B,B,R,G,Y,O,R,Y,P,a
B,P,G,R,B,Y,R,O,Y,a
B,G,O,P,Y,B,R,Y,R,a
B,G,P,O,B,Y,R,R,Y,a
B,P,B,R,O,Y,R,G,Y,a
B,O,R,Y,Y,P,R,B,G,a
B,O,R,Y,B,P,R,Y,G,a
B,G,B,P,O,Y,Y,R,R,a
G,O,R,P,R,B,Y,B,Y,a
B,O,R,P,B,Y,R,Y,G,a
B,P,R,Y,B,O,G,R,Y,a
B,G,Y,R,B,Y,R,O,P,a
B,B,Y,R,Y,G,R,P,O,a
B,B,R,O,Y,Y,G,P,R,a
B,B,O,G,R,Y,Y,P,R,a
B,G,P,R,B,Y,R,O,Y,a
B,G,R,R,Y,P,Y,B,O,a
B,G,B,O,Y,R,P,R,Y,a
B,R,P,R,B,G,Y,O,Y,a
B,B,O,G,Y,R,R,P,Y,a
B,O,R,R,P,B,Y,G,Y,a
B,B,R,Y,O,G,R,P,Y,a
G,B,R,P,B,R,Y,O,Y,a
B,Y,G,Y,B,P,R,O,R,a
B,O,R,Y,R,B,Y,P,G,a
B,G,O,P,Y,B,Y,R,R,a
B,B,R,Y,P,O,R,G,Y,a
B,G,P,O,R,B,Y,R,Y,a
B,P,R,R,G,B,Y,O,Y,a
B,O,Y,Y,B,R,R,P,G,a
B,G,P,Y,Y,B,R,O,R,a
B,R,R,Y,B,P,Y,O,G,a
B,O,Y,P,R,B,R,Y,G,a
B,P,R,Y,R,G,O,B,Y,a
B,B,Y,P,G,O,Y,R,R,a
B,P,R,Y,G,O,Y,B,R,a
B,G,Y,R,P,O,B,Y,R,a
B,B,Y,O,Y,R,P,G,R,a
B,P,Y,R,O,G,B,R,Y,a
B,G,Y,Y,R,P,O,R,B,a
B,O,G,P,R,Y,Y,B,R,a
B,B,R,O,G,P,Y,Y,R,a
B,G,Y,O,R,Y,P,B,R,a
B,G,O,P,R,R,B,Y,Y,a
B,G,R,P,Y,B,O,Y,R,a
B,G,R,O,Y,Y,R,B,P,a
B,G,P,Y,R,B,R,O,Y,a
B,O,Y,R,Y,B,P,G,R,a
B,G,R,R,B,Y,Y,O,P,a
B,G,Y,P,O,Y,R,B,R,a
B,B,G,O,R,P,Y,Y,R,a
B,B,R,Y,P,G,Y,O,R,a
B,B,Y,P,R,O,G,Y,R,a
G,B,Y,Y,B,O,R,P,R,a
G,P,R,Y,B,O,Y,B,R,a
P,B,Y,R,B,G,R,O,Y,a
B,P,Y,Y,R,B,R,O,G,a
P,B,Y,O,B,R,Y,G,R,a
B,G,Y,R,R,Y,B,O,P,a
B,B,O,G,Y,P,Y,R,R,a
P,B,R,G,Y,O,Y,B,R,a
B,B,G,R,R,P,Y,O,Y,a
B,B,R,R,G,P,Y,O,Y,a
B,G,O,Y,R,P,R,B,Y,a
B,G,R,O,Y,R,B,Y,P,a
G,B,Y,O,B,P,R,Y,R,a
B,P,R,R,O,G,B,Y,Y,a
B,O,Y,R,P,B,Y,G,R,a
B,G,R,Y,O,B,Y,P,R,a
B,R,Y,Y,B,P,G,O,R,a
B,G,R,P,O,Y,R,B,Y,a
B,O,Y,R,Y,G,R,B,P,a
B,B,O,Y,Y,P,R,G,R,a
P,B,Y,O,R,G,Y,B,R,a
B,G,R,P,Y,R,B,Y,O,a
P,B,Y,R,B,G,Y,O,R,a
B,B,Y,R,Y,O,G,P,R,a
B,G,Y,Y,O,R,R,P,B,a
P,B,R,G,B,O,Y,Y,R,a
R,B,Y,G,P,B,R,O,Y,a
O,G,R,Y,B,B,Y,P,R,a
B,B,R,O,P,Y,R,G,Y,a
R,B,Y,P,G,B,R,O,Y,a
B,G,Y,P,R,Y,O,B,R,a
B,O,Y,Y,B,R,P,G,R,a
B,P,R,R,B,O,G,Y,Y,a
B,O,Y,Y,G,B,R,P,R,a
G,P,Y,R,B,B,R,O,Y,a
B,O,Y,P,G,R,B,Y,R,a
B,B,Y,R,R,G,Y,O,P,a
B,G,R,Y,Y,B,P,O,R,a
G,B,Y,O,B,R,R,P,Y,a
B,P,G,R,Y,B,Y,O,R,a
B,G,O,R,R,B,Y,P,Y,a
B,B,Y,Y,P,O,R,G,R,a
P,B,R,O,B,R,Y,G,Y,a
B,O,R,P,Y,B,R,Y,G,a
B,B,Y,G,R,R,Y,O,P,a
B,P,G,Y,B,O,R,R,Y,a
B,O,R,Y,G,P,R,B,Y,a
B,O,Y,P,B,Y,R,R,G,a
B,B,R,Y,R,P,Y,O,G,a
B,B,R,R,Y,G,Y,P,O,a
B,P,O,R,B,G,Y,R,Y,a
B,O,P,R,B,Y,R,G,Y,a
B,B,R,G,Y,Y,P,O,R,a
B,O,R,P,Y,R,Y,B,G,a
B,O,Y,Y,B,G,P,R,R,a
B,B,Y,Y,R,G,O,P,R,a
B,B,Y,G,Y,R,R,P,O,a
B,O,R,P,Y,B,Y,R,G,a
B,P,O,Y,Y,G,B,R,R,a
B,G,B,P,O,R,Y,Y,R,a
B,O,R,R,Y,G,P,B,Y,a
P,B,R,O,B,G,R,Y,Y,a
B,O,Y,R,G,Y,R,P,B,a
B,B,R,G,Y,P,Y,R,O,a
B,P,Y,R,R,O,B,Y,G,a
B,B,R,R,O,P,Y,G,Y,a
B,G,P,Y,R,O,Y,B,R,a
G,O,R,Y,B,B,R,P,Y,a
P,B,Y,G,B,O,Y,R,R,a
P,B,Y,G,B,O,R,R,Y,a
B,G,R,R,Y,P,O,Y,B,a
B,B,Y,G,P,O,R,Y,R,a
B,B,R,O,Y,G,Y,R,P,a
P,B,R,Y,B,O,R,G,Y,a
B,P,R,R,B,Y,G,O,Y,a
B,B,Y,O,R,G,Y,R,P,a
B,G,R,Y,Y,B,O,P,R,a
B,B,R,Y,R,P,G,O,Y,a
P,B,R,B,Y,O,Y,G,R,a
B,P,R,Y,Y,B,R,G,O,a
B,G,P,R,Y,B,Y,O,R,a
B,R,R,Y,B,P,O,G,Y,a
P,O,R,R,B,G,Y,B,Y,a
B,O,P,Y,B,R,Y,G,R,a
B,P,Y,R,G,O,B,Y,R,a
B,O,R,Y,R,Y,G,P,B,a
B,O,B,R,P,R,Y,G,Y,a
B,G,Y,Y,R,B,P,O,R,a
B,R,R,Y,B,O,Y,P,G,a
B,G,B,R,O,Y,R,P,Y,a
B,G,Y,R,P,O,R,Y,B,a
G,B,R,O,B,Y,R,P,Y,a
B,O,R,R,Y,Y,B,P,G,a
B,B,R,G,P,R,Y,O,Y,a
B,O,B,P,Y,Y,R,R,G,a
B,B,Y,G,P,O,Y,R,R,a
B,P,R,Y,B,G,O,R,Y,a
G,B,Y,B,R,O,Y,P,R,a
B,G,Y,Y,R,P,R,B,O,a
O,G,R,P,B,R,Y,B,Y,a
B,B,R,O,P,Y,Y,G,R,a
B,P,Y,R,B,G,R,Y,O,a
B,G,Y,Y,O,P,B,R,R,a
B,B,Y,P,Y,R,R,O,G,a
B,P,G,Y,R,O,B,Y,R,a
P,B,Y,G,R,B,R,O,Y,a
B,G,O,P,R,Y,R,Y,B,a
B,P,O,Y,R,G,Y,B,R,a
O,B,Y,P,B,G,R,R,Y,a
B,G,Y,R,Y,R,B,P,O,a
B,P,B,R,G,Y,R,O,Y,a
B,G,P,O,Y,R,B,R,Y,a
B,G,Y,Y,R,O,P,R,B,a
B,B,O,G,Y,Y,R,P,R,a
B,O,Y,R,Y,P,R,B,G,a
B,B,Y,G,Y,P,R,R,O,a
B,B,R,P,G,R,Y,O,Y,a
B,G,R,Y,Y,R,B,P,O,a
B,O,B,R,Y,Y,R,P,G,a
B,G,R,Y,B,Y,R,P,O,a
B,P,G,Y,B,O,Y,R,R,a
B,O,Y,R,P,G,B,Y,R,a
B,G,Y,R,R,O,P,B,Y,a
B,O,R,Y,B,Y,R,P,G,a
B,G,R,R,O,P,Y,B,Y,a
B,O,R,Y,Y,P,B,R,G,a
B,G,R,O,P,B,Y,R,Y,a
B,B,Y,R,Y,O,P,G,R,a
G,B,Y,R,B,O,Y,P,R,a
B,P,Y,R,B,G,Y,R,O,a
B,G,R,R,P,Y,Y,O,B,a
B,R,R,Y,B,O,P,G,Y,a
B,O,R,P,Y,R,G,B,Y,a
P,B,R,Y,B,G,Y,O,R,a
B,G,O,R,Y,R,B,P,Y,a
B,O,B,P,R,R,Y,Y,G,a
B,G,R,R,P,Y,B,O,Y,a
B,G,Y,Y,P,O,R,B,R,a
P,B,Y,Y,B,O,R,G,R,a
B,P,R,Y,Y,G,O,B,R,a
B,B,G,Y,Y,O,R,P,R,a
B,G,O,P,B,Y,R,Y,R,a
B,B,R,O,R,P,Y,Y,G,a
B,P,Y,R,B,Y,G,O,R,a
B,P,Y,R,Y,G,R,B,O,a
O,B,Y,P,B,R,R,G,Y,a
B,P,Y,Y,B,R,R,G,O,a
B,P,Y,R,R,B,Y,O,G,a
B,B,R,P,Y,Y,R,G,O,a
B,O,R,P,G,B,R,Y,Y,a
B,B,R,O,G,Y,R,P,Y,a
B,G,Y,R,Y,B,P,O,R,a
G,B,R,P,B,O,Y,R,Y,a
B,O,R,P,Y,B,G,R,Y,a
B,G,Y,O,Y,R,P,R,B,a
B,B,O,G,R,R,Y,P,Y,a
O,G,Y,P,B,Y,R,B,R,a
O,B,R,G,B,R,Y,P,Y,a
B,B,Y,O,Y,R,R,G,P,a
B,O,R,R,Y,B,P,G,Y,a
B,O,Y,R,G,Y,B,P,R,a
B,O,P,R,R,G,B,Y,Y,a
B,O,Y,P,B,Y,G,R,R,a
B,G,Y,O,R,Y,R,B,P,a
B,O,Y,R,R,B,Y,P,G,a
B,P,Y,Y,B,G,O,R,R,a
B,B,Y,G,R,R,P,O,Y,a
B,P,Y,R,R,G,B,Y,O,a
B,B,R,G,R,O,P,Y,Y,a
B,P,G,R,Y,B,R,O,Y,a
B,B,Y,Y,G,O,R,P,R,a
B,B,Y,Y,R,P,G,O,R,a
B,B,Y,R,O,G,Y,P,R,a
B,P,R,Y,O,B,Y,G,R,a
B,B,R,P,O,G,Y,R,Y,a
B,P,O,Y,B,R,R,G,Y,a
G,P,R,R,B,O,Y,B,Y,a
B,O,Y,Y,P,G,B,R,R,a
B,G,O,P,R,B,Y,Y,R,a
B,G,O,P,R,B,R,Y,Y,a
B,O,R,P,G,B,Y,Y,R,a
G,B,Y,O,B,Y,R,P,R,a
B,G,R,Y,R,Y,B,P,O,a
B,O,G,Y,Y,P,R,R,B,a
B,P,O,R,B,G,R,Y,Y,a
B,G,Y,R,P,Y,B,O,R,a
P,G,R,Y,B,B,R,O,Y,a
B,O,Y,R,B,R,P,G,Y,a
P,G,Y,O,B,Y,R,B,R,a
B,G,R,O,Y,Y,P,R,B,a
B,O,R,Y,P,G,R,B,Y,a
B,P,R,Y,Y,G,B,R,O,a
B,B,Y,O,G,P,R,Y,R,a
G,B,Y,P,B,R,R,O,Y,a
B,B,Y,Y,R,P,R,G,O,a
B,O,Y,P,R,Y,G,R,B,a
B,G,B,R,Y,Y,O,P,R,a
B,B,R,O,Y,G,P,R,Y,a
B,O,G,R,B,Y,R,P,Y,a
B,G,P,O,Y,Y,R,R,B,a
B,B,G,R,R,O,Y,P,Y,a
B,B,R,Y,R,O,G,P,Y,a
B,B,R,R,Y,P,O,G,Y,a
B,G,Y,R,Y,B,R,O,P,a
B,G,R,O,Y,B,R,Y,P,a
B,G,P,O,R,R,Y,Y,B,a
B,G,R,P,O,Y,B,R,Y,a
B,B,Y,R,G,O,Y,P,R,a
B,R,Y,Y,B,O,P,G,R,a
G,B,R,P,R,B,Y,O,Y,a
B,B,Y,R,P,O,Y,G,R,a
O,G,Y,Y,B,P,R,B,R,a
B,G,P,Y,B,R,R,O,Y,a
B,G,P,R,Y,Y,R,O,B,a
B,O,G,R,B,P,R,Y,Y,a
G,O,Y,P,B,Y,R,B,R,a
B,G,Y,O,R,B,R,Y,P,a
B,O,Y,R,R,G,Y,B,P,a
B,B,Y,G,R,R,O,P,Y,a
B,O,Y,R,B,Y,G,P,R,a
B,B,Y,P,Y,R,G,O,R,a
R,B,R,B,G,O,Y,P,Y,a
B,G,R,Y,O,R,Y,P,B,a
B,B,R,Y,Y,P,R,G,O,a
B,B,O,P,Y,G,R,R,Y,a
O,B,Y,R,B,P,Y,G,R,a
B,O,Y,P,G,B,R,Y,R,a
B,O,Y,R,G,P,R,B,Y,a
B,B,R,R,Y,O,Y,G,P,a
B,G,R,O,B,R,Y,Y,P,a
G,O,R,P,Y,B,R,B,Y,a
O,G,Y,R,B,B,Y,P,R,a
O,G,Y,R,B,B,R,P,Y,a
B,G,Y,R,P,B,R,O,Y,a
P,B,R,G,B,Y,R,O,Y,a
B,G,R,P,O,Y,Y,R,B,a
B,P,O,R,R,G,B,Y,Y,a
B,B,G,O,Y,P,R,R,Y,a
B,O,G,Y,B,P,Y,R,R,a
B,G,P,R,Y,O,B,Y,R,a
B,O,Y,Y,G,R,R,P,B,a
B,O,R,Y,G,P,B,Y,R,a
B,G,Y,Y,R,P,O,B,R,a
O,B,Y,Y,B,G,R,P,R,a
B,G,Y,Y,O,B,R,P,R,a
B,B,R,P,Y,O,G,Y,R,a
P,G,R,O,Y,B,R,B,Y,a
B,B,G,R,Y,O,Y,P,R,a
B,B,R,Y,O,P,Y,G,R,a
B,R,Y,R,B,G,Y,P,O,a
B,O,G,R,Y,P,B,Y,R,a
B,G,Y,P,R,R,O,B,Y,a
B,P,R,R,G,O,Y,B,Y,a
G,B,R,O,Y,B,R,P,Y,a
B,O,Y,R,G,P,Y,B,R,a
B,B,P,G,R,O,Y,R,Y,a
B,O,Y,Y,R,B,R,P,G,a
B,B,R,P,O,Y,R,G,Y,a
B,P,G,Y,B,O,R,Y,R,a
B,R,Y,Y,B,G,P,O,R,a
G,B,Y,R,B,O,R,P,Y,a
B,O,R,Y,G,R,B,P,Y,a
P,G,Y,O,Y,B,R,B,R,a
B,G,Y,P,R,B,O,R,Y,a
G,P,Y,R,B,O,R,B,Y,a
P,G,R,Y,B,B,Y,O,R,a
B,B,R,P,R,G,O,Y,Y,a
B,B,G,P,R,O,R,Y,Y,a
O,G,R,P,B,Y,Y,B,R,a
B,B,R,P,G,O,R,Y,Y,a
B,G,R,P,Y,Y,O,B,R,a
B,G,Y,Y,B,R,R,P,O,a
B,G,O,P,Y,R,B,R,Y,a
B,P,Y,R,O,G,Y,B,R,a
B,G,R,R,Y,P,B,Y,O,a
B,B,P,Y,R,O,Y,G,R,a
B,G,R,Y,B,P,O,R,Y,a
O,P,R,Y,B,G,Y,B,R,a
B,R,P,Y,B,O,R,G,Y,a
B,B,Y,Y,R,O,G,P,R,a
B,G,P,O,Y,Y,B,R,R,a
B,G,P,O,R,R,B,Y,Y,a
B,B,R,P,O,Y,Y,G,R,a
B,G,P,R,R,Y,B,O,Y,a
G,O,Y,Y,B,P,R,B,R,a
B,O,R,Y,B,G,P,R,Y,a
B,O,R,R,Y,B,Y,G,P,a
B,G,B,P,R,Y,O,Y,R,a
B,B,O,G,R,P,Y,Y,R,a
B,P,R,Y,G,O,B,Y,R,a
B,G,P,R,Y,Y,B,O,R,a
B,B,R,R,P,O,Y,G,Y,a
P,O,Y,R,B,G,Y,B,R,a
B,G,Y,Y,R,P,B,R,O,a
B,O,P,Y,R,B,Y,G,R,a
B,O,G,P,R,Y,B,Y,R,a
B,O,Y,P,R,Y,R,B,G,a
B,R,G,Y,B,P,Y,O,R,a
B,B,R,G,O,Y,R,P,Y,a
B,B,Y,G,P,R,R,O,Y,a
P,B,R,G,Y,B,R,O,Y,a
O,B,R,P,B,Y,Y,G,R,a
B,G,P,O,Y,B,R,R,Y,a
B,P,G,Y,B,Y,R,O,R,a
B,B,R,R,Y,G,Y,O,P,a
B,O,B,R,G,Y,R,P,Y,a
B,O,B,R,P,Y,Y,G,R,a
B,G,O,P,R,R,Y,B,Y,a
B,G,R,R,Y,B,Y,P,O,a
B,P,R,R,Y,B,Y,O,G,a
B,O,Y,R,R,Y,B,P,G,a
O,B,R,Y,B,P,R,G,Y,a
B,G,R,P,Y,Y,B,R,O,a
B,O,G,Y,Y,P,R,B,R,a
B,B,Y,G,R,Y,P,O,R,a
O,B,R,G,B,P,Y,R,Y,a
B,O,G,P,B,Y,R,Y,R,a
P,G,R,O,B,B,R,Y,Y,a
B,B,Y,G,O,R,Y,P,R,a
B,B,P,O,Y,G,R,R,Y,a
B,B,O,Y,R,P,Y,G,R,a
B,R,P,Y,B,G,R,O,Y,a
B,G,R,P,O,Y,R,Y,B,a
B,B,G,R,Y,P,Y,O,R,a
B,B,G,O,R,R,Y,P,Y,a
B,G,O,Y,B,R,Y,P,R,a
R,B,Y,O,G,P,Y,B,R,a
R,B,Y,O,G,P,R,B,Y,a
B,B,R,P,G,Y,Y,O,R,a
B,G,R,P,O,R,Y,B,Y,a
B,R,Y,Y,B,O,R,G,P,a
B,B,O,R,Y,P,R,G,Y,a
B,B,Y,P,R,G,O,Y,R,a
B,G,Y,O,P,R,B,R,Y,a
B,P,Y,R,Y,B,R,O,G,a
B,B,Y,O,R,R,Y,G,P,a
B,G,Y,P,O,R,R,B,Y,a
O,G,Y,R,B,P,Y,B,R,a
B,P,Y,R,B,R,Y,G,O,a
B,B,R,G,P,O,Y,R,Y,a
G,B,Y,O,R,P,R,B,Y,a
B,G,Y,O,B,Y,P,R,R,a
O,B,Y,G,B,R,R,P,Y,a
B,R,R,Y,B,P,Y,G,O,a
O,B,R,P,B,G,Y,Y,R,a
B,G,R,Y,Y,O,P,B,R,a
G,B,Y,O,B,R,Y,P,R,a
B,B,Y,G,R,P,O,Y,R,a
O,G,Y,R,B,P,R,B,Y,a
B,O,R,Y,G,P,R,Y,B,a
B,G,R,Y,O,P,R,Y,B,a
B,O,Y,P,G,Y,R,R,B,a
B,O,R,P,Y,R,B,Y,G,a
R,B,R,B,P,O,Y,G,Y,a
B,O,R,P,G,Y,B,Y,R,a
B,B,R,P,O,G,Y,Y,R,a
B,B,R,G,Y,P,O,R,Y,a
G,P,R,Y,B,B,Y,O,R,a
B,B,R,P,G,Y,R,O,Y,a
B,G,Y,Y,R,O,P,B,R,a
B,B,R,G,O,Y,Y,P,R,a
B,G,Y,R,O,P,B,Y,R,a
B,B,Y,P,R,R,Y,O,G,a
B,B,R,Y,Y,O,G,P,R,a
B,P,Y,R,R,B,O,G,Y,a
P,G,Y,O,B,B,Y,R,R,a
B,G,O,Y,R,P,Y,R,B,a
B,G,R,O,R,B,Y,Y,P,a
B,G,O,Y,R,P,B,R,Y,a
O,G,R,R,B,B,Y,P,Y,a
B,B,R,P,R,O,Y,Y,G,a
P,B,R,O,Y,B,Y,G,R,a
B,P,R,R,Y,B,G,O,Y,a
P,B,R,R,B,G,Y,O,Y,a
B,G,Y,P,O,B,R,R,Y,a
B,G,Y,R,B,P,O,R,Y,a
B,G,B,P,O,Y,R,R,Y,a
G,O,R,Y,B,B,Y,P,R,a
B,G,Y,R,R,O,P,Y,B,a
O,P,R,Y,B,G,R,B,Y,a
B,P,R,Y,Y,O,G,B,R,a
B,O,G,Y,B,P,R,R,Y,a
G,B,Y,P,B,O,Y,R,R,a
B,B,P,O,R,G,Y,R,Y,a
B,B,P,R,Y,G,R,O,Y,a
B,O,G,Y,Y,R,R,P,B,a
B,G,Y,O,B,Y,R,R,P,a
B,O,R,P,Y,R,G,Y,B,a
G,B,Y,P,B,Y,R,O,R,a
B,B,Y,O,Y,G,P,R,R,a
G,B,Y,P,R,B,R,O,Y,a
B,G,P,O,Y,R,Y,B,R,a
B,B,R,Y,R,O,Y,G,P,a
B,O,Y,R,G,P,B,Y,R,a
B,B,R,O,Y,R,P,G,Y,a
B,O,R,P,B,Y,Y,R,G,a
B,O,P,R,B,R,Y,G,Y,a
P,B,R,G,B,R,Y,O,Y,a
B,P,R,Y,B,R,O,G,Y,a
B,G,Y,P,Y,R,O,B,R,a
B,P,R,Y,B,O,R,Y,G,a
B,G,B,O,P,Y,R,R,Y,a
B,B,G,P,Y,O,R,R,Y,a
R,B,R,G,P,O,Y,B,Y,a
B,G,P,O,R,B,Y,Y,R,a
B,O,B,P,Y,R,R,Y,G,a
B,G,Y,Y,R,B,R,P,O,a
B,G,B,R,O,Y,Y,P,R,a
B,B,R,R,Y,G,P,O,Y,a
B,G,Y,P,O,R,Y,B,R,a
B,P,Y,Y,R,B,R,G,O,a
B,O,Y,R,R,B,P,G,Y,a
P,B,Y,O,B,G,Y,R,R,a
B,G,P,Y,R,O,B,R,Y,a
B,G,Y,Y,R,O,R,B,P,a
B,B,P,G,R,Y,R,O,Y,a
B,R,Y,Y,B,G,O,P,R,a
B,Y,R,Y,B,O,R,P,G,a
B,G,O,Y,B,P,R,Y,R,a
B,P,Y,R,B,G,O,R,Y,a
G,B,Y,P,R,B,Y,O,R,a
O,P,Y,R,B,B,R,G,Y,a
B,B,G,Y,R,P,Y,O,R,a
B,B,R,Y,R,P,Y,G,O,a
B,B,R,O,R,Y,P,G,Y,a
B,P,R,R,O,B,Y,G,Y,a
B,B,Y,P,R,O,R,Y,G,a
B,G,R,R,O,P,Y,Y,B,a
B,G,P,R,R,B,Y,O,Y,a
B,B,R,P,R,Y,Y,O,G,a
B,G,R,Y,O,P,B,Y,R,a
B,P,R,Y,B,G,Y,R,O,a
B,O,Y,Y,R,P,G,B,R,a
B,O,R,Y,B,R,Y,P,G,a
B,O,R,Y,G,B,R,P,Y,a
B,P,Y,R,R,G,Y,B,O,a
B,G,Y,P,R,B,Y,R,O,a
B,P,B,R,Y,R,O,G,Y,a
B,B,Y,G,Y,P,O,R,R,a
O,B,Y,G,B,P,Y,R,R,a
B,B,R,G,Y,O,Y,R,P,a
B,G,B,O,Y,R,Y,R,P,a
O,G,Y,P,B,B,R,Y,R,a
B,G,P,Y,B,O,R,R,Y,a
B,G,B,R,R,Y,P,O,Y,a
B,P,R,Y,R,B,Y,O,G,a
B,B,Y,O,R,R,P,G,Y,a
B,O,Y,R,B,Y,R,G,P,a
B,G,P,Y,R,B,Y,O,R,a
B,G,B,O,P,R,R,Y,Y,a
B,G,R,Y,B,P,Y,R,O,a
B,B,Y,P,R,R,G,O,Y,a
B,R,Y,R,B,G,Y,O,P,a
B,P,R,R,Y,O,B,Y,G,a
G,B,R,P,Y,B,R,O,Y,a
B,G,Y,P,Y,R,B,R,O,a
B,B,Y,P,R,O,Y,R,G,a
G,P,Y,Y,B,B,R,O,R,a
B,O,B,R,R,Y,P,G,Y,a
B,G,R,Y,Y,O,B,R,P,a
B,P,B,R,R,Y,O,G,Y,a
B,G,P,O,R,B,R,Y,Y,a
B,B,R,P,R,O,G,Y,Y,a
B,B,R,P,Y,R,Y,O,G,a
B,B,Y,P,R,G,Y,R,O,a
B,B,R,P,Y,Y,O,G,R,a
B,B,Y,O,Y,R,R,P,G,a
B,O,R,Y,R,P,G,Y,B,a
B,O,R,Y,Y,B,R,G,P,a
B,B,R,R,Y,G,O,P,Y,a
B,P,Y,Y,B,G,R,R,O,a
B,P,Y,Y,R,G,O,B,R,a
P,B,Y,G,Y,B,R,O,R,a
R,B,R,B,P,G,Y,O,Y,a
B,O,Y,P,R,R,Y,B,G,a
B,O,B,R,Y,R,P,G,Y,a
O,G,R,P,B,B,Y,R,Y,a
B,B,R,G,P,O,R,Y,Y,a
B,O,Y,R,Y,B,R,P,G,a
G,B,Y,P,Y,B,R,O,R,a
B,O,G,Y,R,Y,R,P,B,a
B,O,B,P,R,Y,R,Y,G,a
B,G,Y,O,P,Y,B,R,R,a
B,G,O,R,Y,P,Y,B,R,a
B,G,R,P,Y,R,O,B,Y,a
O,B,R,P,B,G,R,Y,Y,a
B,O,R,Y,G,Y,R,P,B,a
B,G,O,Y,R,B,Y,P,R,a
B,B,P,O,R,Y,R,G,Y,a
B,B,R,Y,G,O,R,P,Y,a
B,O,R,P,B,Y,G,R,Y,a
B,B,Y,G,Y,R,O,P,R,a
B,B,Y,P,O,G,R,R,Y,a
B,O,G,R,Y,Y,B,P,R,a
B,G,R,P,O,Y,Y,B,R,a
B,P,Y,R,O,B,Y,G,R,a
B,O,G,P,Y,Y,R,R,B,a
B,G,O,P,Y,B,R,R,Y,a
O,B,Y,R,B,G,R,P,Y,a
B,O,R,R,B,G,Y,Y,P,a
B,B,P,G,Y,Y,R,O,R,a
B,G,O,Y,B,P,Y,R,R,a
B,O,R,Y,B,P,G,Y,R,a
P,G,R,R,B,B,Y,O,Y,a
B,G,O,Y,Y,R,B,P,R,a
B,G,R,R,B,O,P,Y,Y,a
B,O,R,Y,B,P,Y,R,G,a
P,G,R,Y,B,O,R,B,Y,a
G,P,Y,R,B,B,Y,O,R,a
O,G,Y,P,B,R,Y,B,R,a
B,G,Y,R,B,O,R,Y,P,a
B,B,R,P,Y,G,O,Y,R,a
B,G,Y,R,R,B,Y,O,P,a
G,B,R,R,B,P,Y,O,Y,a
B,O,R,R,G,P,Y,Y,B,a
B,O,R,R,G,P,B,Y,Y,a
B,G,Y,R,R,Y,P,O,B,a
B,G,R,P,B,Y,R,Y,O,a
B,O,B,R,R,Y,G,P,Y,a
B,G,P,O,Y,R,Y,R,B,a
B,G,R,R,Y,Y,B,P,O,a
O,B,R,G,B,Y,Y,P,R,a
O,P,Y,R,B,B,Y,G,R,a
B,G,B,R,Y,R,P,O,Y,a
O,G,Y,P,B,B,Y,R,R,a
B,G,O,Y,Y,P,B,R,R,a
B,G,O,P,B,R,Y,R,Y,a
B,P,Y,Y,R,G,B,R,O,a
B,O,R,R,B,Y,Y,G,P,a
B,O,B,Y,G,Y,R,P,R,a
B,P,B,R,Y,Y,G,O,R,a
B,B,R,G,Y,O,P,Y,R,a
B,G,B,O,Y,R,P,Y,R,a
B,G,R,R,P,O,Y,Y,B,a
G,O,Y,P,R,B,Y,B,R,a
B,O,Y,Y,R,G,B,R,P,a
B,P,R,Y,B,Y,G,O,R,a
P,G,Y,R,B,B,R,O,Y,a
B,O,Y,R,G,P,R,Y,B,a
B,P,R,R,Y,G,O,B,Y,a
B,B,Y,O,R,Y,R,P,G,a
B,G,B,O,P,R,Y,Y,R,a
B,B,Y,P,Y,R,R,G,O,a
B,P,O,R,Y,G,Y,B,R,a
