c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
B,G,P,R,W,O,Y,B,O,a
G,B,R,O,W,R,Y,B,G,a
O,G,Y,P,W,R,Y,B,P,a
B,B,Y,P,W,R,O,G,O,a
O,B,P,G,W,R,Y,B,Y,a
B,B,P,R,W,Y,G,O,R,a
O,B,P,R,W,G,Y,R,Y,a
G,B,Y,R,W,R,Y,G,P,a
B,P,R,Y,W,R,G,G,Y,a
B,O,O,R,W,B,Y,G,P,a
B,B,P,R,W,O,G,Y,Y,a
B,R,P,Y,W,P,Y,O,G,a
G,B,Y,O,W,O,R,B,P,a
B,P,G,R,W,B,O,O,Y,a
B,P,G,R,W,Y,R,P,Y,a
B,G,G,R,W,O,Y,R,P,a
B,G,R,O,W,Y,P,R,Y,a
G,B,Y,O,W,P,O,B,R,a
G,B,Y,R,W,O,Y,R,P,a
G,B,R,O,W,O,Y,B,P,a
G,B,R,Y,W,P,Y,P,O,a
G,B,Y,G,W,Y,R,R,P,a
B,O,R,Y,W,R,Y,G,P,a
G,B,R,B,W,P,Y,O,O,a
B,P,R,Y,W,P,O,B,Y,a
B,G,Y,O,W,R,P,R,Y,a
B,G,O,P,W,Y,O,B,R,a
B,O,G,R,W,B,R,Y,O,a
O,B,P,Y,W,B,Y,P,R,a
B,P,R,Y,W,O,G,R,Y,a
B,G,O,P,W,B,R,Y,O,a
B,B,P,Y,W,Y,R,P,O,a
G,B,Y,G,W,R,R,P,O,a
B,R,R,Y,W,B,G,G,O,a
B,O,O,Y,W,P,R,B,G,a
B,G,G,O,W,Y,R,R,P,a
B,B,G,O,W,Y,R,P,O,a
B,G,O,Y,W,R,R,P,G,a
B,R,Y,Y,W,O,P,P,G,a
G,O,P,Y,W,B,R,P,Y,a
B,G,P,Y,W,B,O,O,R,a
B,G,B,R,W,R,G,Y,O,a
B,O,R,R,W,G,Y,B,G,a
B,P,O,R,W,O,B,Y,Y,a
B,O,Y,Y,W,B,R,O,P,a
B,G,R,R,W,O,Y,B,O,a
G,P,R,Y,W,R,Y,B,O,a
B,P,G,R,W,R,Y,G,O,a
B,B,P,O,W,P,R,Y,Y,a
B,O,G,R,W,O,Y,B,P,a
B,B,G,Y,W,O,R,O,P,a
B,G,R,Y,W,R,B,O,O,a
P,G,Y,G,W,B,Y,R,R,a
